diseasename,country,district,year,total cases,total deaths,Avg. NVDI Val
Crimean-Congo Hemorrhagic Fever,Serbia,Kosovski okrug,1999,1.0,0.0,5483.560606060606
Crimean-Congo Hemorrhagic Fever,Serbia,Kosovski okrug,2000,5.0,0.0,5142.300505050504
Crimean-Congo Hemorrhagic Fever,Serbia,Kosovski okrug,2001,97.0,0.0,5514.966540404041
Crimean-Congo Hemorrhagic Fever,Serbia,Pecki okrug,1995,119.0,16.0,4991.2730158730155
Crimean-Congo Hemorrhagic Fever,Serbia,Pecki okrug,1996,23.0,5.0,4902.534920634921
Crimean-Congo Hemorrhagic Fever,Serbia,Pecki okrug,1997,8.0,0.0,4987.354761904762
Crimean-Congo Hemorrhagic Fever,Serbia,Pecki okrug,1998,1.0,0.0,5156.903174603174
Crimean-Congo Hemorrhagic Fever,Serbia,Pecki okrug,1999,7.0,2.0,5458.070634920635
Crimean-Congo Hemorrhagic Fever,Serbia,Pecki okrug,2000,4.0,0.0,5359.3912698412705
Crimean-Congo Hemorrhagic Fever,Serbia,Prizrenski okrug,2004,4.0,0.0,5315.024509803921
Crimean-Congo Hemorrhagic Fever,Pakistan,Kalat,1995,2.0,0.0,998.0919563058591
Crimean-Congo Hemorrhagic Fever,Pakistan,Kalat,2000,0.0,2.0,901.2405991393581
Crimean-Congo Hemorrhagic Fever,Pakistan,Kalat,2004,4.0,7.0,946.7971036080768
Crimean-Congo Hemorrhagic Fever,Pakistan,Kalat,2015,0.0,1.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Kalat,2016,27.0,10.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Kalat,2017,3.0,0.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Quetta,1998,3.0,1.0,803.2065248226952
Crimean-Congo Hemorrhagic Fever,Pakistan,Quetta,2001,4.0,2.0,724.8708156028367
Crimean-Congo Hemorrhagic Fever,Pakistan,Quetta,2014,0.0,2.0,795.6805673758865
Crimean-Congo Hemorrhagic Fever,Pakistan,Quetta,2015,11.0,3.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Quetta,2017,12.0,4.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Quetta,2018,2.0,0.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Quetta,2019,11.0,5.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Karachi,2018,1.0,5.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Karachi,2019,37.0,17.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Karachi,2000,0.0,7.0,1209.1705729166667
Crimean-Congo Hemorrhagic Fever,Pakistan,Karachi,2005,40.0,1.0,1311.2799479166667
Crimean-Congo Hemorrhagic Fever,Pakistan,Karachi,2014,4.0,2.0,1413.35546875
Crimean-Congo Hemorrhagic Fever,Pakistan,Karachi,2015,3.0,0.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Karachi,2016,2.0,1.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Karachi,2017,1.0,6.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Faisalabad,2001,2.0,0.0,3723.6342455621293
Crimean-Congo Hemorrhagic Fever,Pakistan,Faisalabad,2016,1.0,13.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Islamabad,2001,0.0,2.0,3554.535353535353
Crimean-Congo Hemorrhagic Fever,Pakistan,Islamabad,2005,1.0,0.0,4341.7474747474735
Crimean-Congo Hemorrhagic Fever,Pakistan,Islamabad,2006,7.0,1.0,3949.9040404040397
Crimean-Congo Hemorrhagic Fever,Pakistan,Islamabad,2014,0.0,3.0,4032.856060606061
Crimean-Congo Hemorrhagic Fever,Pakistan,Islamabad,2018,1.0,1.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Islamabad,2017,5.0,1.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Dera Ghazi Khan,2004,0.0,3.0,2353.629541864139
Crimean-Congo Hemorrhagic Fever,Pakistan,Hazara,2013,0.0,2.0,3166.525895925381
Crimean-Congo Hemorrhagic Fever,Pakistan,Hazara,2016,1.0,1.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Peshawar,2014,13.0,11.0,3681.063818565401
Crimean-Congo Hemorrhagic Fever,Pakistan,Peshawar,2015,16.0,10.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Peshawar,2016,0.0,3.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Peshawar,2018,1.0,1.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Peshawar,2019,2.0,0.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Multan,2016,72.0,0.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Multan,2015,0.0,1.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Multan,2017,1.0,0.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Multan,2018,1.0,3.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Mirpur Khas,2015,1.0,0.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Mirpur Khas,2016,1.0,0.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Mirpur Khas,2019,0.0,5.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Rawalpindi,2002,0.0,1.0,2704.626474056604
Crimean-Congo Hemorrhagic Fever,Pakistan,Rawalpindi,2003,0.0,2.0,3261.480935534591
Crimean-Congo Hemorrhagic Fever,Pakistan,Rawalpindi,2004,1.0,1.0,3061.6801297169814
Crimean-Congo Hemorrhagic Fever,Pakistan,Rawalpindi,2016,1.0,1.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Rawalpindi,2014,50.0,0.0,3365.5431407232704
Crimean-Congo Hemorrhagic Fever,Pakistan,Rawalpindi,2015,3.0,1.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Rawalpindi,2017,2.0,0.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Rawalpindi,2018,17.0,0.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Rawalpindi,2019,0.0,1.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Malakand,2015,25.0,11.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Malakand,2018,1.0,0.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Bahawalpur,2016,0.0,2.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Bannu,2017,1.0,0.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Mardan,2017,1.0,0.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,F.A.T.A.,2018,0.0,2.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Zhob,2014,77.0,4.0,1330.1263378089122
Crimean-Congo Hemorrhagic Fever,Afghanistan,Gulran,2000,25.0,15.0,
Crimean-Congo Hemorrhagic Fever,Afghanistan,Azra,2015,1.0,0.0,
Crimean-Congo Hemorrhagic Fever,Afghanistan,Herat,2017,0.0,13.0,
Crimean-Congo Hemorrhagic Fever,Afghanistan,Herat,2018,41.0,4.0,
Crimean-Congo Hemorrhagic Fever,Afghanistan,Chora,2018,0.0,34.0,
